fips,animal_usd,crop_usd,total_usd
01001,10638000.0,29212000.0,39850000.0
01003,20489000.0,123196000.0,143685000.0
01005,193435000.0,23929000.0,217364000.0
01007,2054000.0,2387000.0,4441000.0
01009,307338000.0,18821000.0,326159000.0
01011,10641000.0,36100000.0,46741000.0
01013,262224000.0,3506000.0,265730000.0
01015,101633000.0,18728000.0,120361000.0
01017,34146000.0,2244000.0,36390000.0
01019,178555000.0,64806000.0,243361000.0
01021,9230000.0,15067000.0,24297000.0
01023,1780000.0,2087000.0,3867000.0
01025,1499000.0,2088000.0,3587000.0
01027,180045000.0,2919000.0,182964000.0
01029,132706000.0,3288000.0,135994000.0
01031,365370000.0,27753000.0,393123000.0
01033,21319000.0,34519000.0,55838000.0
01035,13190000.0,8493000.0,21683000.0
01037,894000.0,742000.0,1636000.0
01039,168265000.0,28100000.0,196365000.0
01041,274598000.0,3804000.0,278402000.0
01043,539687000.0,24283000.0,563970000.0
01045,297768000.0,21571000.0,319339000.0
01047,37623000.0,40553000.0,78176000.0
01049,737568000.0,43541000.0,781109000.0
01051,4663000.0,24592000.0,29255000.0
01053,3226000.0,32884000.0,36110000.0
01055,175225000.0,15181000.0,190406000.0
01057,31570000.0,3697000.0,35267000.0
01059,241543000.0,12579000.0,254122000.0
01061,237394000.0,42487000.0,279881000.0
01063,26143000.0,2405000.0,28548000.0
01065,61242000.0,6685000.0,67927000.0
01067,66564000.0,38927000.0,105491000.0
01069,42395000.0,69754000.0,112149000.0
01071,157815000.0,53418000.0,211233000.0
01073,7446000.0,2439000.0,9885000.0
01075,7741000.0,4024000.0,11765000.0
01077,41310000.0,59491000.0,100801000.0
01079,238805000.0,84219000.0,323024000.0
01081,3291000.0,46904000.0,50195000.0
01083,76113000.0,95909000.0,172022000.0
01085,85502000.0,23120000.0,108622000.0
01087,2466000.0,23787000.0,26253000.0
01089,4534000.0,107133000.0,111667000.0
01091,16010000.0,11769000.0,27779000.0
01093,184365000.0,11672000.0,196037000.0
01095,458604000.0,19732000.0,478336000.0
01097,10228000.0,116788000.0,127016000.0
01099,11712000.0,21836000.0,33548000.0
01101,39631000.0,19736000.0,59367000.0
01103,128774000.0,21812000.0,150586000.0
01105,18514000.0,23833000.0,42347000.0
01107,131567000.0,17975000.0,149542000.0
01109,318643000.0,13937000.0,332580000.0
